id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
5FAypHXUMASUcjSWSOd3aw,Taar Anto Nai Go,Sohini Mukhopadhyay,2,2017,0.148,0.0559,0,-28.689,0.0376,0.501,0.864,0.107,0.094,140.04,74.789,5
5VXlMvtqtse9cL5XiVUJi8,Tumi Mor Pao Nai,Jayati Chakraborty,18,2015,0.466,0.248,4,-8.99,0.0327,0.882,0,0.218,0.201,81.333,251.167,4
4Zzm9E0zgEnHSVUNFedOPx,Tomaye Gaan Sonabo,Jayati Chakraborty,24,2015,0.378,0.275,5,-8.47,0.0329,0.901,0,0.203,0.206,139.77,292.206,3
3BaXcF3m7hNvHVtizC0Ydk,Amar Moner Koner Baire,Jayati Chakraborty,18,2015,0.621,0.362,6,-7.887,0.0283,0.649,0,0.0839,0.447,103.966,176.065,4
21c8RFZb6pvAU4wEUDtHGq,Dekha Na Dakhay Mesha,Jayati Chakraborty,13,2015,0.554,0.412,4,-7.892,0.0341,0.748,0,0.088,0.332,96.841,205.244,3
2JvCyZZp9nIiTDYq6Ur47V,Tui Phele Esechhis,Jayati Chakraborty,29,2015,0.624,0.317,4,-8.713,0.0316,0.835,0.00000466,0.0826,0.36,93.997,211.043,3
5uxmKzJ54DfLFYyXSpNUsp,Kano Saradin,Jayati Chakraborty,14,2015,0.628,0.245,10,-8.764,0.0301,0.852,0.000107,0.103,0.389,132.142,239.595,4
4VsXIlA8Qvsfj6BLEI7Wbf,Shrabonero Gogonero Gaye,Jayati Chakraborty,5,2015,0.574,0.505,4,-8.99,0.0487,0.635,0,0.137,0.294,116.133,210.73,4
382g9K9FWeMLxfM8d8FDLI,Jodio Amaro Hridoyo,Jayati Chakraborty,5,2015,0.466,0.254,8,-8.718,0.0299,0.839,0,0.142,0.279,123.853,341.682,5
3pSIp7oDCyL2h6N31yB0KC,Amar Jabar Belaye,Jayati Chakraborty,17,2015,0.357,0.242,4,-9.45,0.0302,0.92,0.0000114,0.112,0.132,135.384,272.274,4
5y0oM7MgmhnmEFfpGhCEb4,E Sudhu Alosh Maya,Srikanta Acharya,12,2010,0.632,0.42,5,-15.099,0.0376,0.454,0,0.232,0.866,121.939,140.252,4
7sTB08NEmoHNfKKyC4Q8Z8,Bhora Thak Sriti Sudhyay,Srikanta Acharya,18,2010,0.378,0.0221,10,-24.473,0.0444,0.983,0,0.106,0.319,132.109,204.435,3
2VubUdyc7WyDqwKuufUWp5,Jagorone Jaye Bibhabori,Srikanta Acharya,18,2010,0.629,0.535,10,-8.743,0.0298,0.59,0,0.253,0.634,80.05,217.079,4
3uI4tRimibt2vnPw5G08dm,Tumi Ki Keboli Chhobi,Srikanta Acharya,20,2010,0.341,0.245,8,-10.91,0.0323,0.917,0.00000375,0.119,0.162,86.224,172.279,4
7hsqMTXdanoyMv22xFyokZ,Kokhon Dile Poraye,Srikanta Acharya,11,2010,0.263,0.158,3,-12.605,0.0354,0.966,0.0017,0.102,0.0806,115.251,281.105,4
39nSujMGFY3yhFA6wtmBIy,De Pore De,Srikanta Acharya,11,2010,0.526,0.0994,10,-23.91,0.0373,0.733,0,0.138,0.652,179.886,204.67,3
7Dk9htXe4rZgcCctpr988S,Bajibe Sokhi Banshi Bajibe,Srikanta Acharya,13,2010,0.574,0.229,8,-20.084,0.0426,0.771,0,0.0908,0.525,92.053,114.287,1
4xyfQhVl7Xi4YLK0ShFZvG,Sedin Dujone,Srikanta Acharya,25,2010,0.537,0.366,0,-11.463,0.0392,0.905,0.00000861,0.0778,0.2,143.909,282.359,4
3p0E862FdrEThmiANczsCw,Anondo Oi Dware,Srikanta Acharya,11,2010,0.535,0.23,5,-18.405,0.0711,0.726,0,0.059,0.728,150.348,175.361,3
4BdJehPXIqYrpXZTT4eITM,Loho Loho Tule Loho,Srikanta Acharya,2,2010,0.296,0.153,10,-21.317,0.0594,0.666,0,0.112,0.439,189.298,135.341,1
18qJly2g49k8IBMofaazVv,Rangiye Diye Jao Go,Srikanta Acharya,12,2010,0.565,0.286,3,-16.377,0.0861,0.551,0,0.193,0.734,143.842,126.329,3
7f6gV3vlJEN1pVuHM4tDHc,Esho Aamar Ghore Esho,Srikanta Acharya,8,2010,0.389,0.381,10,-8.84,0.0526,0.945,0.00000508,0.3,0.342,143.973,174.499,3
1UG54uUwIVOXsCgkOPlOfV,Kotha Bahire Dure,Srikanta Acharya,10,2010,0.453,0.458,10,-9.649,0.0503,0.848,0,0.145,0.613,71.197,212.925,4
4QQoISJMJuZeBEJXUMG4j9,Aami Elam Tomer Dware,Srikanta Acharya,6,2010,0.349,0.228,5,-18.142,0.0593,0.909,0.00000398,0.206,0.316,92.065,217.967,4
3gLZeDPUvyRngovv5kMPAd,"Ann Mona, Ann Mona",Srikanta Acharya,14,2010,0.527,0.447,10,-9.968,0.034,0.846,0.0000575,0.141,0.598,157.862,177.895,3
4pHCEOGVEmyHan7CLQyfpa,Aaji Dakhhin Duwar Khola,Srikanta Acharya,3,2010,0.646,0.298,10,-19.779,0.0618,0.681,0,0.0851,0.853,122.077,161.986,4
5JzJTITOT1VGlAg9O8rU7S,Bahire Bhul Bhangbe Jokhon,Srikanta Acharya,11,2010,0.602,0.334,7,-11.94,0.0483,0.913,0.00026,0.165,0.291,139.957,291.319,3
5ZlZbvF50Gn6BFe2VHlXxV,Na Jewo Na,Srikanta Acharya,10,2010,0.302,0.24,8,-10.501,0.0306,0.934,0.00554,0.11,0.17,65.151,144.798,4
1wI0KRwPLH9tR1fXfbfehm,"Sokhi, Andhare Ekla Ghore",Srikanta Acharya,5,2010,0.205,0.0261,1,-21.88,0.0409,0.964,0.00000307,0.0721,0.186,149.559,284.37,3
6QF6cPW8XpZMSco3sl4DlO,Jokhon Eshechhile Andhokare,Srikanta Acharya,15,2010,0.454,0.254,5,-8.836,0.0322,0.915,0,0.112,0.237,139.915,269.95,1
2NghWqu31l3t62GJSmFokj,Mor Bina Othe,Srikanta Acharya,14,2010,0.654,0.476,6,-10.188,0.0352,0.847,0.000454,0.0877,0.301,99.993,224.706,4
7sDWBd7pmKWo6nG46vpDMp,Boro Biswaye Lage,Srikanta Acharya,11,2010,0.242,0.0297,6,-19.972,0.0398,0.967,0.000455,0.136,0.112,129.642,331.939,5
0n4zTXvlMsv5r9gaowiZc6,Aji Jharer Raate,Srikanta Acharya,13,2014,0.48,0.489,7,-6.809,0.0299,0.699,0.00000478,0.267,0.592,120.169,218.07,5
00Jb1pdVvkt9h2rtEXDacx,Aj Jyotsnarate,Srikanta Acharya,24,2014,0.541,0.512,6,-5.662,0.0272,0.712,0.00000417,0.744,0.473,126.398,218.697,1
