id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0r4u0HSMo39GMl4NYACNMj,Sona Bondhe Ki Aagun Jalailo,Helal,Kind of Popular,2020,High-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
25SBqatIGcT2otqq1MZN54,Oporadi Re,Dukhi Lalon,Not Popular,2018,No-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Fast,Long,Simple
65q1L34PtVzwmjBv8AqYFG,Lokey Boley,Kaya,Kind of Popular,2004,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
1fS0kpKzwUc4HTeEemI86z,Hridayer Dor,Nancy,Kind of Popular,2017,High-dance,Low Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
6Plr3JXOFm9FCctRBZOpjA,Shona Bondhu - Remix,Dj Aks,Kind of Popular,2017,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
1SeHm1F7fwsue6kSKmqJsc,আমার ঘুম পারানি বন্ধু তুমি,Masud Rana,Not Popular,2021,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
5VqHrPltRncWQQf7xqFP9F,Shonabondhu,Sandipan,Kind of Popular,2017,Mid-dance,High Energy,Enharmonic,Normal,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
1BaN2lflvOvBscbbMYDXiN,Sona Bondhu,Sharif Uddin,Kind of Popular,2005,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
6jeMghsGMOfO7Dkssh2xsM,KANCHA BADAM,BHUBAN BADYAKAR,Not Popular,2021,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Short,Simple
15T87Ks12zerPm7Cp23GJk,MONER BHITORE,Monir,Not Popular,2016,High-dance,Low Energy,Non-enharmonic,Normal,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
5ezLLQIfsLLiruEGMbdbgS,Jalaiya Gela,Shamim,Not Popular,2010,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Medium,Medium,Simple
